SCRAMID,SATISFACTION,KIDS_LT1Y,KIDS_1_4Y,KIDS_5_11Y,KIDS_12_17Y,ENRPUBCHK,ENRPRVCHK,ENRHMSCHK,ENROLLNONE,CHILDCARE,CHILDCARE_RSLT1,CHILDCARE_RSLT2,CHILDCARE_RSLT3,CHILDCARE_RSLT4,CHILDCARE_RSLT5,CHILDCARE_RSLT6,CHILDCARE_RSLT7,CHILDCARE_RSLT8,CHILDCARE_RSLT9,FRMLA_AGE,BABY_FED,FRMLA_DIFFCLT,WRKLOSSRV,ANYWORK,KINDWORK,RSNNOWRKRV,TWDAYS_RESP,SEEING,HEARING,MOBILITY,REMEMBERING,SELFCARE,UNDERSTAND,ANXIOUS,WORRY,INTEREST,DOWN,MHLTH_NEED,MHLTH_GET,MHLTH_SATISFD,MHLTH_DIFFCLT,HLTHINS1,HLTHINS2,HLTHINS3,HLTHINS4,HLTHINS5,HLTHINS6,HLTHINS7,HLTHINS8,SOCIAL1_first,SOCIAL2_first,SOCnew1,SOCnew2,FALLVAC_1,FALLVAC_2,RSVVACC,SHRTGMEDICAL1,SHRTGMEDICAL2,SHRTGMEDICAL3,SHRTGMEDICAL4,SHRTGMEDICAL5,SHRTGMED_RSP_ALT1,SHRTGMED_RSP_ALT2,SHRTGMED_RSP_ALT3,SHRTGMED_RSP_ALT4,SHRTGMED_RSP_ALT5,SHRTGMED_RSP_ALT6,SHRTGMED_RSP_ALT7,SHRTGMED_RSP_ALT8,SHRTGMED_RSP_ALT9,CURFOODSUF,CHILDFOOD,FOODRSNRV1,FOODRSNRV2,FOODRSNRV3,FOODRSNRV4,FREEFOOD,FDBENEFIT1,FDBENEFIT2,FDBENEFIT3,FDBENEFIT4,FDBENEFIT5,SCHLFDEXPNS,EXPNS_DIF,PRICECHNG,PRICESTRESS,PRICECONCRN,TENURE,RENTCUR,MORTCUR,EVICT,FORECLOSE,ENERGY,HSE_TEMP,ENRGY_BILL,TRANSPORT1,TRANSPORT2,TRANSPORT3,TRANSPORT4,TRANSPORT5,TRANSPORT6,TRANSPORT7,TRANSPORT8,TRANSPORT9,TRANSPORT10,TRANSPORT11,TRANSPORT12,ACCESS_TRANSP,NEEDS_TRANSP1,NEEDS_TRANSP2,NEEDS_TRANSP3,NEEDS_TRANSP4,NEEDS_TRANSP5,NEEDS_TRANSP6,NEEDS_TRANSP7,LIVENTERTAINMENT,ARTEXHIBIT,MOVIES,CREATEART,PARTINARTS,TRUST1,TRUST2_MILITARY,TRUST2_POLICE,TRUST2_SUPREME,TRUST2_PRESIDENCY,TRUST2_SCHOOLS,TRUST2_CRIMJUST,TRUST2_CONGRESS,TRUST2_CENSUS,TRUST2_STATISTICAL,FEDSTAT_TRUST,THHLD_NUMKID,TENROLLPUB,TENROLLPRV,TENROLLHMSCH,PWEIGHT,HWEIGHT,ESEX1,RRACE1,RHISPANIC1,TAGE1,TBIRTH_YEAR1,AHHLD_NUMKID,THHLD_NUMADULT,REDUC1,A_SEX1,A_AGE1,A_BIRTH_YEAR1,A_HISPANIC1,A_RACE1,A_EDUC1,MARITAL1
R01IGULN9,9.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,5.0,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,1.0,-99.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,3.0,5.0,4.0,1.0,1.0,1.0,-99.0,-99.0,-99.0,-99.0,1.0,,,,,,,,,,2.0,,-99.0,-99.0,-99.0,1.0,2.0,-99.0,-99.0,-99.0,-99.0,1.0,,1.0,1.0,2.0,1.0,3.0,1.0,,,,2.0,2.0,2.0,-99.0,-99.0,-99.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,,,,,,,,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,0.0,,,,9414.411650590062,4438.359351544834,1,1,1,88,1935,2,2,7,2,1,2,2,2,1,1.0
R01P1R0R8,11.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,-99.0,1.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,-99.0,-99.0,-99.0,-99.0,1.0,,,,,,,,,,1.0,,,,,,2.0,-99.0,-99.0,-99.0,-99.0,1.0,,1.0,3.0,,4.0,1.0,,,,,2.0,1.0,2.0,1.0,-99.0,-99.0,1.0,-99.0,-99.0,1.0,-99.0,1.0,-99.0,-99.0,-99.0,1.0,,,,,,,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,,,,24657.073595664227,11624.407051309086,2,1,1,72,1951,2,2,6,2,1,2,2,2,1,1.0
R01JPJXK8,8.0,1.0,1.0,-99.0,-99.0,,,,,2.0,,,,,,,,,,1.0,1.0,,2.0,1.0,4.0,,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,5.0,5.0,1.0,1.0,1.0,-99.0,-99.0,-99.0,-99.0,1.0,,,,,,,,,,1.0,,,,,,2.0,1.0,1.0,-99.0,-99.0,-99.0,,2.0,1.0,3.0,3.0,2.0,,1.0,,,2.0,2.0,2.0,-99.0,-99.0,-99.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,,,,22826.070944055475,5435.2872505642645,1,2,1,73,1950,2,4,7,2,1,2,2,2,1,1.0
R01UUYBR6,11.0,-99.0,-99.0,1.0,1.0,1.0,-99.0,1.0,-99.0,2.0,,,,,,,,,,,,,2.0,2.0,,9.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-99.0,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,5.0,5.0,2.0,2.0,2.0,-99.0,-99.0,-99.0,-99.0,1.0,,,,,,,,,,1.0,,,,,,2.0,-99.0,-99.0,-99.0,-99.0,1.0,2.0,2.0,1.0,4.0,3.0,1.0,,,,,2.0,2.0,2.0,-99.0,-99.0,-99.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,-99.0,2.0,22421.359584628884,10677.836776143691,2,1,1,71,1952,2,2,4,2,1,2,2,2,1,4.0
R01GU09P8,10.0,-99.0,-99.0,-99.0,1.0,1.0,-99.0,-99.0,-99.0,3.0,,,,,,,,,,,,,2.0,1.0,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,5.0,2.0,1.0,2.0,-99.0,-99.0,-99.0,-99.0,1.0,,,,,,,,,,1.0,,,,,,2.0,-99.0,-99.0,1.0,-99.0,-99.0,3.0,2.0,2.0,,2.0,2.0,,1.0,,,2.0,2.0,2.0,-99.0,-99.0,-99.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,,,,,,,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,-99.0,-99.0,5209.724372342234,4962.106449129389,2,1,1,50,1973,2,1,6,2,1,2,2,2,1,4.0
R01G01RT1,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,,4.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,,,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,-99.0,-99.0,-99.0,-99.0,1.0,,,,,,,,,,3.0,,1.0,-99.0,-99.0,-99.0,2.0,-99.0,-99.0,-99.0,-99.0,1.0,,4.0,4.0,,2.0,2.0,,2.0,,1.0,2.0,1.0,1.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,5.0,-99.0,-99.0,-99.0,1.0,-99.0,-99.0,-99.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,0.0,,,,7334.013579096893,7248.449937402112,2,1,1,44,1979,2,1,5,2,1,2,2,2,1,2.0
R01GGDIZ8,2.0,-99.0,-99.0,-99.0,1.0,1.0,-99.0,-99.0,-99.0,2.0,,,,,,,,,,,,,2.0,1.0,4.0,,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,2.0,2.0,1.0,2.0,-99.0,-99.0,-99.0,-99.0,1.0,,,,,,,,,,1.0,,,,,,2.0,-99.0,-99.0,-99.0,-99.0,1.0,3.0,4.0,1.0,3.0,4.0,2.0,,1.0,,,2.0,2.0,2.0,1.0,-99.0,-99.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,-99.0,-99.0,62846.73589748594,31056.76134691273,1,1,1,59,1964,2,2,3,2,1,2,2,2,1,1.0
R01J041A7,8.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,5.0,,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,-99.0,-99.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,2.0,,1.0,-99.0,-99.0,-99.0,2.0,-99.0,-99.0,-99.0,-99.0,-99.0,,2.0,1.0,3.0,1.0,2.0,,1.0,,,2.0,2.0,2.0,-99.0,-99.0,-99.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,,,,,,,,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,1.0,0.0,,,,50861.14241193391,25118.8434052039,2,1,1,70,1953,2,2,3,2,1,2,2,2,1,1.0
R01VNCTV9,4.0,-99.0,-99.0,-99.0,1.0,-99.0,-99.0,-99.0,1.0,3.0,,,,,,,,,,,,,1.0,2.0,,5.0,,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,,,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0,-99.0,-99.0,-99.0,-99.0,1.0,,,,,,,,,,4.0,2.0,1.0,-99.0,-99.0,-99.0,2.0,-99.0,-99.0,-99.0,-99.0,1.0,3.0,4.0,1.0,1.0,2.0,3.0,1.0,,,,2.0,1.0,2.0,1.0,-99.0,-99.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,,,,,,,,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,-99.0,-99.0,-99.0,30498.701532583826,14378.40219666133,2,1,1,71,1952,2,2,3,2,1,2,2,2,1,4.0
R01Z4GKB5,10.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,-99.0,-99.0,-99.0,-99.0,1.0,,,,,,,,,,1.0,,,,,,2.0,-99.0,-99.0,-99.0,-99.0,1.0,,1.0,1.0,3.0,2.0,1.0,,,,,2.0,2.0,2.0,1.0,1.0,-99.0,1.0,-99.0,-99.0,1.0,1.0,-99.0,-99.0,-99.0,-99.0,1.0,,,,,,,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,,,,15908.986925748071,7500.182009894678,2,1,2,58,1966,2,2,4,2,1,2,2,2,1,1.0
